,depressed,sad,gloomy,melancholy,miserable,dispirited,listless,weary,worn out,tired,resigned,lonely,heartbroken,grief-stricken,worthless,self-critical,ashamed,guilty,humiliated,embarrassed,regretful,sorry,desperate,panicked,hysterical,overwhelmed,distressed,tormented,trapped,stuck,frustrated,exasperated,angry,anxious,afraid,nervous,stressed,calm,self-confident,content,happy,hopeful,clinical_depression,acute_grief,burnout_exhaustion,physical_illness_fatigue,anxiety_panic,frustration_blocked_goal,pain_axis
ashamed,-0.26250893,-0.1314345,-0.25529394,-0.19087712,-0.12443163,-0.1769748,-0.41760573,-0.37762082,-0.43386674,-0.4736572,-0.18509,-0.08332752,-0.07864965,-0.13290037,0.11158526,0.41269496,1.0000006,0.8043326,0.6995491,0.5785176,0.5653091,0.56442136,0.12145349,0.005924028,-0.10195301,-0.28052676,0.071510024,0.16863978,0.12064325,-0.095730014,-0.008276274,-0.102159224,0.12066884,0.04413884,0.18741089,0.12716673,-0.23459959,-0.26851496,-0.0018533769,-0.26380208,-0.1380817,-0.048227705,-0.055870056,0.06589544,-0.08152722,-0.15866886,0.18469231,-0.013190888,0.08161544
guilty,-0.313876,-0.07165795,-0.26286224,-0.12487536,-0.15496774,-0.22855839,-0.40986022,-0.35789856,-0.39345965,-0.4457085,-0.20254576,-0.103991374,-0.006535181,-0.04656042,-0.05602777,0.2863263,0.8043326,0.9999999,0.39773643,0.3340541,0.6997466,0.6846993,0.13716637,-0.009391935,-0.12274444,-0.2316587,0.104031205,0.19997127,0.104973875,-0.096355155,0.00571671,-0.11811779,0.0778943,0.06506682,0.11572573,0.123131804,-0.10193845,-0.20877856,-0.031167962,-0.1781112,-0.07901067,0.011596144,-0.1685418,0.106794976,-0.09264538,-0.22632611,0.22091359,0.046654657,0.041150644
humiliated,-0.3931765,-0.21817632,-0.3589608,-0.30147606,-0.23935881,-0.24502686,-0.48549208,-0.48036557,-0.4997553,-0.49617636,-0.18674608,-0.17415377,-0.09027239,-0.19140337,-0.009679421,0.28335783,0.6995491,0.39773643,1.0000002,0.79073656,0.30910793,0.35521734,0.011842105,0.10017853,0.024154816,-0.26699832,0.10291332,0.08496035,0.015759699,-0.23832922,0.18507048,0.15008734,0.27508858,0.035332832,0.22813968,0.11612319,-0.23697637,-0.18570031,0.16756003,-0.2142058,0.0062890397,0.06543614,-0.18410084,0.10211604,-0.04740348,-0.10175844,0.14934868,0.00979871,0.06943255
embarrassed,-0.49085686,-0.37610495,-0.46058598,-0.42995176,-0.42667547,-0.36617762,-0.4825855,-0.53336513,-0.49123153,-0.4151557,-0.29357257,-0.25581577,-0.32916316,-0.3498666,-0.23685585,0.256798,0.5785176,0.3340541,0.79073656,0.99999905,0.1305626,0.21391293,-0.07545329,0.23595658,0.076573096,-0.12301237,0.031604327,-0.19777144,-0.19289948,-0.32541984,0.19795585,0.26422134,0.12933305,0.25289628,0.31059483,0.3845576,-0.05750622,-0.05490728,0.18634099,-0.06108639,0.18678775,0.19338399,-0.29419592,0.05927846,-0.114352025,-0.07159511,0.19395944,0.07388565,0.022564694
regretful,-0.3365542,0.08866273,-0.11247659,0.12956749,-0.03073638,0.0028230897,-0.34361985,-0.26030838,-0.36489218,-0.49856696,-0.017538205,0.028056363,0.15236533,0.0371608,0.053140048,0.29437244,0.5653091,0.6997466,0.30910793,0.1305626,0.9999983,0.7987438,0.106472395,-0.25645486,-0.36490032,-0.49011633,-0.027143793,0.047988206,0.1461855,0.10831658,0.018647049,-0.047681298,0.034359183,-0.33577815,-0.15976714,-0.22514625,-0.33902884,-0.09640309,0.15191194,0.0009412814,0.050502077,0.19822258,-0.14583676,0.23836444,0.087284595,-0.11956132,-0.11627508,0.07889048,0.0116778845
sorry,-0.3581373,0.30056283,-0.041097336,0.15755214,0.05039152,-0.0029377677,-0.43002388,-0.327224,-0.38205203,-0.47093877,-0.1780255,0.0012738343,0.23330885,0.11537135,-0.020075621,0.2537496,0.56442136,0.6846993,0.35521734,0.21391293,0.7987438,0.99999976,0.09558753,-0.17838202,-0.33017775,-0.37209213,0.20313479,0.05178274,-0.0009465379,-0.07727865,0.07345544,-0.060663473,0.056894306,-0.21327947,-0.063840225,-0.1344322,-0.20030919,-0.16188927,-0.017791243,-0.034406044,0.04915319,0.1568085,-0.13907026,0.27204543,-0.05348415,-0.12344764,-0.09252248,0.11941624,0.05069638
desperate,-0.0535207,-0.0461193,-0.08837227,-0.21403164,0.258483,0.011903307,-0.2728075,-0.115428306,-0.01795155,-0.16107053,-0.24279213,-0.19516186,0.11155887,0.13240431,0.09245985,-0.03871783,0.12145349,0.13716637,0.011842105,-0.07545329,0.106472395,0.09558753,0.9999982,0.29719338,0.19866882,0.10091311,0.42407778,0.4085989,0.14319396,0.002322917,0.06416111,0.082234845,0.10205813,0.05075602,0.1942984,0.035726506,0.22326067,-0.45881322,-0.2158505,-0.38423654,-0.24124873,-0.10138867,-0.16653319,-0.07964091,-0.18317063,-0.10173982,0.17513078,0.15846018,-0.0019251375
panicked,-0.2956324,-0.31601667,-0.54055196,-0.5971709,-0.35889775,-0.64857876,-0.4761048,-0.4918711,-0.32330424,-0.16280779,-0.5487424,-0.5122328,-0.13110304,-0.060055804,-0.53116006,-0.18440114,0.005924028,-0.009391935,0.10017853,0.23595658,-0.25645486,-0.17838202,0.29719338,0.9999998,0.7848415,0.39785057,0.68395257,0.2997945,-0.19349052,-0.57488257,0.30222756,0.20670545,0.43984276,0.78239673,0.83542365,0.73214406,0.4267298,-0.26411495,-0.158415,-0.32249773,-0.13283186,-0.16948974,-0.3233247,-0.105038136,-0.47865796,-0.20553797,0.60673624,0.12251704,-0.037128363
hysterical,-0.059249762,-0.25443172,-0.40956086,-0.46963197,-0.21839967,-0.5404099,-0.23333403,-0.3116206,-0.1656373,-0.020295197,-0.3491231,-0.40656295,-0.0083056735,0.06785936,-0.3551608,-0.24088532,-0.10195301,-0.12274444,0.024154816,0.076573096,-0.36490032,-0.33017775,0.19866882,0.7848415,0.9999999,0.4457325,0.51842743,0.41458836,-0.085467145,-0.43887258,0.23885313,0.17779025,0.46880114,0.621303,0.56628674,0.47319755,0.34944832,-0.2546002,-0.24538791,-0.39207396,-0.26497668,-0.35246345,-0.19742988,-0.095087186,-0.4176138,-0.20583552,0.53260046,0.07723955,-0.00083556207
overwhelmed,0.20902815,-0.13108762,-0.078859664,-0.31810373,0.06570426,-0.1321468,0.09478104,0.13720505,0.44843838,0.44681308,-0.3530967,-0.1974662,-0.16174461,-0.029183185,-0.15873335,-0.057561312,-0.28052676,-0.2316587,-0.26699832,-0.12301237,-0.49011633,-0.37209213,0.10091311,0.39785057,0.4457325,0.9999993,0.3336147,0.1122059,-0.019600958,-0.09845823,0.06299046,0.042258833,-0.05327745,0.44300178,0.20225042,0.24759817,0.81096274,-0.29117766,-0.40715012,-0.27075905,-0.2473765,-0.33844632,-0.03452301,-0.38353342,-0.0143438745,-0.09597913,0.2524003,0.0875175,0.0017516834
distressed,-0.17408828,0.1444212,-0.21555234,-0.29790804,0.062334534,-0.36473784,-0.48189762,-0.3670823,-0.1910122,-0.15919833,-0.5835966,-0.38048247,0.25785434,0.26305345,-0.3666051,-0.18816362,0.071510024,0.104031205,0.10291332,0.031604327,-0.027143793,0.20313479,0.42407778,0.68395257,0.51842743,0.3336147,0.9999997,0.48707667,-0.092485234,-0.48089665,0.24234532,0.090468146,0.38275978,0.47680125,0.60782284,0.40429848,0.4328229,-0.46874204,-0.36146432,-0.39785856,-0.2514813,-0.2518126,-0.18924783,0.06099177,-0.40529725,-0.12530008,0.37056625,0.064929605,0.029379094
tormented,0.28072706,0.13988492,0.038583316,0.031605683,0.33567125,-0.1351283,-0.08713024,0.016223578,-0.011989627,-0.024830779,-0.14271025,-0.02137154,0.41525954,0.44061083,0.12267273,-0.14132603,0.16863978,0.19997127,0.08496035,-0.19777144,0.047988206,0.05178274,0.4085989,0.2997945,0.41458836,0.1122059,0.48707667,0.99999845,0.40153584,-0.063608274,-0.1668285,-0.19737355,0.1758072,0.21492134,0.35587427,0.045808204,0.047859006,-0.5208894,-0.44425976,-0.58850044,-0.59235334,-0.5449586,0.14251459,-0.051363293,-0.26007015,-0.23327541,0.45508456,-0.13972835,0.052309513
trapped,0.18694736,0.016910873,0.11491931,0.196134,0.21185943,0.1850827,0.13408902,0.20287135,0.10248304,-0.00902734,0.20341258,0.28514686,0.08803517,0.051292155,0.38450384,0.094755374,0.12064325,0.104973875,0.015759699,-0.19289948,0.1461855,-0.0009465379,0.14319396,-0.19349052,-0.085467145,-0.019600958,-0.092485234,0.40153584,1.0000014,0.6142776,-0.23629831,-0.28096727,-0.15344301,-0.1314008,-0.069075376,-0.21658128,-0.12436909,-0.24463385,-0.24992749,-0.23754889,-0.3670759,-0.22200601,0.18418682,-0.098552346,0.19807813,-0.14311893,0.09631134,-0.14794384,0.007740234
stuck,0.36587983,0.13264559,0.431668,0.42667654,0.37541568,0.6790946,0.54061395,0.50381106,0.38345274,0.19928154,0.44357774,0.42928198,0.009506313,-0.010436822,0.6634354,0.24005288,-0.095730014,-0.096355155,-0.23832922,-0.32541984,0.10831658,-0.07727865,0.002322917,-0.57488257,-0.43887258,-0.09845823,-0.48089665,-0.063608274,0.6142776,0.9999992,-0.29181013,-0.29378924,-0.4579508,-0.47927168,-0.54387397,-0.50240546,-0.2150476,-0.10074842,-0.1971867,-0.026884682,-0.174242,-0.015726423,0.37043267,-0.14222845,0.46794567,0.02002454,-0.35641846,-0.09633109,0.020069439
frustrated,-0.49455896,-0.26563385,-0.34764954,-0.43129703,-0.32848787,-0.28059673,-0.43526718,-0.36867753,-0.27943343,-0.28635505,-0.32151684,-0.41306,-0.2512391,-0.31245908,-0.3882298,0.07817805,-0.008276274,0.00571671,0.18507048,0.19795585,0.018647049,0.07345544,0.06416111,0.30222756,0.23885313,0.06299046,0.24234532,-0.1668285,-0.23629831,-0.29181013,0.9999986,0.8040909,0.74566096,0.2024857,0.112827465,0.26537442,0.3031322,-0.07084498,0.13045347,-0.052693453,0.07546396,0.066133186,-0.5403392,-0.11569405,-0.1882794,-0.18399338,0.054770347,0.5496272,-0.0042402665
exasperated,-0.40845737,-0.33915597,-0.3193201,-0.40856305,-0.28260338,-0.27413186,-0.34776384,-0.20511194,-0.11903754,-0.14071581,-0.17228207,-0.4299432,-0.2414092,-0.2552821,-0.3771816,-0.021992654,-0.102159224,-0.11811779,0.15008734,0.26422134,-0.047681298,-0.060663473,0.082234845,0.20670545,0.17779025,0.042258833,0.090468146,-0.19737355,-0.28096727,-0.29378924,0.8040909,1.000001,0.55089843,0.058861345,0.0012780733,0.15795198,0.21733843,0.00832065,0.21634595,0.0035296346,0.117070034,0.094847895,-0.48588562,-0.06401839,-0.10716572,-0.02021537,-0.06842577,0.44019386,-0.03201417
angry,-0.37284222,-0.23001942,-0.41789684,-0.43747,-0.3051887,-0.48751312,-0.48253265,-0.42389688,-0.37742615,-0.32650402,-0.3029709,-0.43387362,-0.03607974,-0.088489145,-0.38254994,-0.14566234,0.12066884,0.0778943,0.27508858,0.12933305,0.034359183,0.056894306,0.10205813,0.43984276,0.46880114,-0.05327745,0.38275978,0.1758072,-0.15344301,-0.4579508,0.74566096,0.55089843,0.99999905,0.21680325,0.31995913,0.23799361,0.08309578,-0.09752351,0.14739715,-0.17574018,-0.06288931,-0.101004116,-0.35965115,0.027710924,-0.25922266,-0.18992688,0.22106946,0.2682833,0.0024340872
anxious,-0.21824613,-0.33115876,-0.44416097,-0.5015636,-0.3950121,-0.5877831,-0.31272623,-0.40529007,-0.29745963,-0.08707692,-0.46581298,-0.3288421,-0.25302577,-0.18536724,-0.49168536,-0.01660748,0.04413884,0.06506682,0.035332832,0.25289628,-0.33577815,-0.21327947,0.05075602,0.78239673,0.621303,0.44300178,0.47680125,0.21492134,-0.1314008,-0.47927168,0.2024857,0.058861345,0.21680325,1.0000018,0.75160474,0.90147525,0.5074843,-0.1548248,-0.20618112,-0.2700968,-0.1783761,-0.2054387,-0.32023346,-0.1943442,-0.4649401,-0.27546903,0.7578454,0.0782763,-0.026450934
afraid,-0.29708403,-0.24274755,-0.4634284,-0.46832126,-0.35358426,-0.6045613,-0.50251627,-0.48124355,-0.4091547,-0.22033945,-0.50533617,-0.37786835,-0.16290097,-0.089181826,-0.45438758,-0.15876047,0.18741089,0.11572573,0.22813968,0.31059483,-0.15976714,-0.063840225,0.1942984,0.83542365,0.56628674,0.20225042,0.60782284,0.35587427,-0.069075376,-0.54387397,0.112827465,0.0012780733,0.31995913,0.75160474,0.99999815,0.754451,0.23513041,-0.20107765,-0.105098836,-0.27566266,-0.13113639,-0.135897,-0.23927356,-0.07909204,-0.46352082,-0.17436051,0.6517943,-0.00797494,-0.030662382
nervous,-0.3725148,-0.3552006,-0.4727225,-0.5092686,-0.47248846,-0.59257865,-0.40665722,-0.46330523,-0.39861852,-0.17683846,-0.4506553,-0.37976754,-0.3350906,-0.27109522,-0.5555557,-0.026065988,0.12716673,0.123131804,0.11612319,0.3845576,-0.22514625,-0.1344322,0.035726506,0.73214406,0.47319755,0.24759817,0.40429848,0.045808204,-0.21658128,-0.50240546,0.26537442,0.15795198,0.23799361,0.90147525,0.754451,1.0000008,0.39107803,-0.07249998,-0.038622215,-0.18676251,-0.04996262,-0.061299935,-0.36888826,-0.12569432,-0.4794601,-0.22522694,0.6182923,0.16304375,-0.033100065
stressed,-0.09120793,-0.20249964,-0.18720756,-0.4453946,-0.04289069,-0.20921409,-0.17838827,-0.06925934,0.24238142,0.21308284,-0.534127,-0.35042605,-0.24377744,-0.14541261,-0.3525282,0.002547746,-0.23459959,-0.10193845,-0.23697637,-0.05750622,-0.33902884,-0.20030919,0.22326067,0.4267298,0.34944832,0.81096274,0.4328229,0.047859006,-0.12436909,-0.2150476,0.3031322,0.21733843,0.08309578,0.5074843,0.23513041,0.39107803,1.0000012,-0.25497538,-0.22494134,-0.15716705,-0.09752787,-0.15837508,-0.34567115,-0.40739956,-0.09450548,-0.18510492,0.3085249,0.33058587,-0.015901808
calm,-0.29369906,-0.19470502,-0.19013669,0.0506116,-0.49642882,-0.21102136,0.027948042,-0.066508606,-0.17606768,-0.07043581,0.36589757,0.020618763,-0.28655848,-0.29667005,-0.26863253,-0.1719914,-0.26851496,-0.20877856,-0.18570031,-0.05490728,-0.09640309,-0.16188927,-0.45881322,-0.26411495,-0.2546002,-0.29117766,-0.46874204,-0.5208894,-0.24463385,-0.10074842,-0.07084498,0.00832065,-0.09752351,-0.1548248,-0.20107765,-0.07249998,-0.25497538,1.0000002,0.62085456,0.77234644,0.47944707,0.43796587,-0.19487841,0.087197356,0.123519026,0.09972419,-0.14676586,0.047938835,-0.09154273
self-confident,-0.51442784,-0.41587248,-0.4276374,-0.27957115,-0.5464806,-0.302159,-0.32638514,-0.32346448,-0.36493006,-0.3715775,0.04051165,-0.25983465,-0.3160135,-0.37187177,-0.30018124,-0.018636081,-0.0018533769,-0.031167962,0.16756003,0.18634099,0.15191194,-0.017791243,-0.2158505,-0.158415,-0.24538791,-0.40715012,-0.36146432,-0.44425976,-0.24992749,-0.1971867,0.13045347,0.21634595,0.14739715,-0.20618112,-0.105098836,-0.038622215,-0.22494134,0.62085456,1.0000005,0.57093066,0.6192528,0.59534866,-0.3335388,0.08161122,0.124872886,0.025528867,-0.07613824,0.11541071,-0.054914407
content,-0.37076232,-0.15834476,-0.1522055,0.03277598,-0.37788242,-0.08455525,-0.08703502,-0.106856294,-0.11913052,-0.16012432,0.099963926,0.021874493,-0.27345216,-0.31009007,-0.27483815,-0.09718687,-0.26380208,-0.1781112,-0.2142058,-0.06108639,0.0009412814,-0.034406044,-0.38423654,-0.32249773,-0.39207396,-0.27075905,-0.39785856,-0.58850044,-0.23754889,-0.026884682,-0.052693453,0.0035296346,-0.17574018,-0.2700968,-0.27566266,-0.18676251,-0.15716705,0.77234644,0.57093066,0.99999976,0.7375037,0.6168718,-0.21936648,0.06378867,0.24106538,0.15398148,-0.22688363,0.040023576,-0.078396454
happy,-0.517831,-0.24148163,-0.32264802,-0.2084929,-0.45381105,-0.17703512,-0.3036562,-0.3688546,-0.29203147,-0.3354056,-0.18127887,-0.2011387,-0.27752766,-0.3358295,-0.3786606,-0.04753974,-0.1380817,-0.07901067,0.0062890397,0.18678775,0.050502077,0.04915319,-0.24124873,-0.13283186,-0.26497668,-0.2473765,-0.2514813,-0.59235334,-0.3670759,-0.174242,0.07546396,0.117070034,-0.06288931,-0.1783761,-0.13113639,-0.04996262,-0.09752787,0.47944707,0.6192528,0.7375037,0.99999833,0.85905355,-0.31997123,0.1266092,0.15960349,0.09851112,-0.13600425,0.065345764,-0.06495387
